1650985517.926942, 	 reno wscale:8,9 rto:296 rtt:95.057/13.884 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:178 bytes_sent:499560 bytes_acked:243265 segs_out:347 segs_in:71 data_segs_out:345 send 21.7Mbps lastrcv:256 pacing_rate 43.4Mbps delivery_rate 9.5Mbps delivered:169 busy:252ms unacked:177 rcv_space:14480 rcv_ssthresh:42242 notsent:786264 minrtt:21.784
1650985517.944805, 	 reno wscale:8,9 rto:308 rtt:106.806/15.698 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:196 bytes_sent:553136 bytes_acked:269329 segs_out:384 segs_in:77 data_segs_out:382 send 21.3Mbps lastrcv:276 pacing_rate 42.5Mbps delivery_rate 9.3Mbps delivered:187 busy:272ms unacked:196 rcv_space:14480 rcv_ssthresh:42242 notsent:1319128 minrtt:21.784
1650985517.964873, 	 reno wscale:8,9 rto:316 rtt:115.811/14.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:211 bytes_sent:595128 bytes_acked:291049 segs_out:413 segs_in:82 data_segs_out:411 send 21.1Mbps lastrcv:296 pacing_rate 42.2Mbps delivery_rate 9.4Mbps delivered:202 busy:292ms unacked:210 rcv_space:14480 rcv_ssthresh:42242 notsent:1277136 minrtt:21.784
1650985517.981842, 	 reno wscale:8,9 rto:324 rtt:123.449/15.033 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:223 bytes_sent:629880 bytes_acked:308425 segs_out:437 segs_in:86 data_segs_out:435 send 20.9Mbps lastsnd:4 lastrcv:312 lastack:4 pacing_rate 41.9Mbps delivery_rate 9.4Mbps delivered:214 busy:308ms unacked:222 rcv_space:14480 rcv_ssthresh:42242 notsent:1242384 minrtt:21.784
1650985517.998511, 	 reno wscale:8,9 rto:336 rtt:132.895/15.066 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:238 bytes_sent:673320 bytes_acked:330145 segs_out:467 segs_in:91 data_segs_out:465 send 20.7Mbps lastrcv:328 pacing_rate 41.5Mbps delivery_rate 9.4Mbps delivered:229 busy:324ms unacked:237 rcv_space:14480 rcv_ssthresh:42242 notsent:1198944 minrtt:21.784
1650985518.015103, 	 reno wscale:8,9 rto:344 rtt:142.014/14.693 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:253 bytes_sent:716760 bytes_acked:351865 segs_out:497 segs_in:96 data_segs_out:495 send 20.6Mbps lastrcv:348 pacing_rate 41.3Mbps delivery_rate 9.3Mbps delivered:244 busy:344ms unacked:252 rcv_space:14480 rcv_ssthresh:42242 notsent:1155504 minrtt:21.784
1650985518.032813, 	 reno wscale:8,9 rto:352 rtt:149.315/14.43 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:265 bytes_sent:751512 bytes_acked:369241 segs_out:521 segs_in:100 data_segs_out:519 send 20.6Mbps lastsnd:4 lastrcv:364 lastack:4 pacing_rate 41.1Mbps delivery_rate 9.6Mbps delivered:256 busy:360ms unacked:264 rcv_space:14480 rcv_ssthresh:42242 notsent:1120752 minrtt:21.784
1650985518.049140, 	 reno wscale:8,9 rto:360 rtt:157.981/12.117 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:280 bytes_sent:796400 bytes_acked:390961 segs_out:552 segs_in:106 data_segs_out:550 send 20.5Mbps lastrcv:380 pacing_rate 41.1Mbps delivery_rate 9.6Mbps delivered:271 busy:376ms unacked:280 rcv_space:14480 rcv_ssthresh:42242 notsent:1922944 minrtt:21.784
1650985518.069578, 	 reno wscale:8,9 rto:368 rtt:166.393/13.56 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:295 bytes_sent:838392 bytes_acked:412681 segs_out:581 segs_in:111 data_segs_out:579 send 20.5Mbps lastrcv:400 pacing_rate 41.1Mbps delivery_rate 9.4Mbps delivered:286 busy:396ms unacked:294 rcv_space:14480 rcv_ssthresh:42242 notsent:1880952 minrtt:21.784
1650985518.086433, 	 reno wscale:8,9 rto:376 rtt:174.543/13.248 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:310 bytes_sent:881832 bytes_acked:434401 segs_out:611 segs_in:116 data_segs_out:609 send 20.6Mbps lastrcv:416 pacing_rate 41.1Mbps delivery_rate 9.6Mbps delivered:301 busy:412ms unacked:309 rcv_space:14480 rcv_ssthresh:42242 notsent:1837512 minrtt:21.784
