------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001
TCP window size:  544 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35514 connected with 10.0.2.22 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 42.0-42.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 42.5-43.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 43.0-43.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 43.5-44.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 44.0-44.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 44.5-45.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 45.0-45.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 45.5-46.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 46.0-46.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 46.5-47.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 47.0-47.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 47.5-48.0 sec  0.00 Bytes  0.00 bits/sec
[  3] 48.0-48.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 48.5-49.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 49.0-49.5 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 49.5-50.0 sec  63.6 KBytes  1.04 Mbits/sec
[  3] 50.0-50.5 sec  1.43 MBytes  24.0 Mbits/sec
[  3] 50.5-51.0 sec  2.42 MBytes  40.7 Mbits/sec
[  3] 51.0-51.5 sec  3.23 MBytes  54.2 Mbits/sec
[  3] 51.5-52.0 sec  3.42 MBytes  57.3 Mbits/sec
[  3] 52.0-52.5 sec  4.29 MBytes  71.9 Mbits/sec
[  3] 52.5-53.0 sec  2.42 MBytes  40.7 Mbits/sec
[  3] 53.0-53.5 sec  1.18 MBytes  19.8 Mbits/sec
[  3] 53.5-54.0 sec  2.92 MBytes  49.0 Mbits/sec
[  3] 54.0-54.5 sec  3.42 MBytes  57.3 Mbits/sec
[  3] 54.5-55.0 sec  3.17 MBytes  53.2 Mbits/sec
[  3] 55.0-55.5 sec  2.73 MBytes  45.9 Mbits/sec
[  3] 55.5-56.0 sec  3.73 MBytes  62.6 Mbits/sec
[  3] 56.0-56.5 sec  2.42 MBytes  40.7 Mbits/sec
[  3] 56.5-57.0 sec  3.04 MBytes  51.1 Mbits/sec
[  3] 57.0-57.5 sec  2.86 MBytes  48.0 Mbits/sec
[  3] 57.5-58.0 sec  3.73 MBytes  62.6 Mbits/sec
[  3] 58.0-58.5 sec  3.67 MBytes  61.5 Mbits/sec
[  3] 58.5-59.0 sec  3.11 MBytes  52.1 Mbits/sec
[  3] 59.0-59.5 sec  4.35 MBytes  73.0 Mbits/sec
[  3] 59.5-60.0 sec  1.49 MBytes  25.0 Mbits/sec
