1650985085.684818, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15109280 lastrcv:15109280 lastack:15109280 unacked:1 rcv_ssthresh:42340
1650985085.704390, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:15109292 lastrcv:15109292 lastack:15109292 unacked:1 rcv_ssthresh:42340
1650985085.721459, 	 reno wscale:8,9 rto:248 rtt:46.31/23.155 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.5Mbps lastsnd:20 lastrcv:24 lastack:24 pacing_rate 5.0Mbps delivered:1 busy:20ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:46.31
1650985085.759555, 	 reno wscale:8,9 rto:244 rtt:41.139/10.335 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 5.6Mbps lastsnd:8 lastrcv:48 lastack:8 pacing_rate 11.3Mbps delivery_rate 3.0Mbps delivered:11 app_limited busy:44ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:30.109
1650985085.778837, 	 reno wscale:8,9 rto:240 rtt:36.398/10.283 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 bytes_sent:60816 bytes_acked:23169 segs_out:44 segs_in:9 data_segs_out:42 send 8.3Mbps lastsnd:4 lastrcv:64 lastack:4 pacing_rate 16.5Mbps delivery_rate 4.6Mbps delivered:17 busy:60ms unacked:26 rcv_space:14480 rcv_ssthresh:42242 notsent:49232 minrtt:23.984
1650985085.796253, 	 reno wscale:8,9 rto:236 rtt:33.72/5.022 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:42 bytes_sent:107152 bytes_acked:46337 segs_out:76 segs_in:17 data_segs_out:74 send 14.4Mbps lastrcv:84 pacing_rate 28.9Mbps delivery_rate 8.7Mbps delivered:33 busy:80ms unacked:42 rcv_space:14480 rcv_ssthresh:42242 notsent:2896 minrtt:23.984
1650985085.814247, 	 reno wscale:8,9 rto:236 rtt:32.93/2.113 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:56 bytes_sent:146248 bytes_acked:66609 segs_out:103 segs_in:24 data_segs_out:101 send 19.7Mbps lastrcv:100 pacing_rate 39.4Mbps delivery_rate 9.3Mbps delivered:47 busy:96ms unacked:55 rcv_space:14480 rcv_ssthresh:42242 notsent:292496 minrtt:23.984
1650985085.832630, 	 reno wscale:8,9 rto:240 rtt:37.341/5.542 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:66 bytes_sent:178104 bytes_acked:81089 segs_out:125 segs_in:30 data_segs_out:123 send 20.5Mbps lastsnd:4 lastrcv:120 lastack:4 pacing_rate 40.9Mbps delivery_rate 8.5Mbps delivered:59 busy:116ms unacked:67 sacked:2 rcv_space:14480 rcv_ssthresh:42242 notsent:260640 minrtt:23.984
1650985085.850032, 	 reno wscale:8,9 rto:244 rtt:40.436/3.625 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:46 ssthresh:33 bytes_sent:188240 bytes_retrans:10136 bytes_acked:81089 segs_out:132 segs_in:37 data_segs_out:130 send 13.2Mbps lastrcv:136 pacing_rate 23.0Mbps delivery_rate 9.3Mbps delivered:73 busy:132ms unacked:67 retrans:7/7 lost:12 sacked:16 rcv_space:14480 rcv_ssthresh:42242 notsent:260640 minrtt:23.984
1650985085.867003, 	 reno wscale:8,9 rto:244 rtt:42.314/2.969 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:33 bytes_sent:207064 bytes_retrans:28960 bytes_acked:81089 segs_out:145 segs_in:43 data_segs_out:143 send 8.2Mbps lastrcv:156 pacing_rate 22.0Mbps delivery_rate 9.7Mbps delivered:91 busy:152ms unacked:67 retrans:20/20 lost:23 sacked:34 rcv_space:14480 rcv_ssthresh:42242 notsent:260640 minrtt:23.984
1650985085.884402, 	 reno wscale:8,9 rto:248 rtt:44.564/3.948 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:33 bytes_sent:231680 bytes_retrans:40544 bytes_acked:82537 segs_out:162 segs_in:50 data_segs_out:160 send 8.1Mbps lastrcv:172 pacing_rate 23.1Mbps delivery_rate 8.4Mbps delivered:102 busy:168ms unacked:75 retrans:22/28 lost:22 sacked:44 rcv_space:14480 rcv_ssthresh:42242 notsent:247608 minrtt:23.984
1650985085.901824, 	 reno wscale:8,9 rto:248 rtt:44.564/3.948 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:33 bytes_sent:251952 bytes_retrans:43440 bytes_acked:82537 segs_out:176 segs_in:60 data_segs_out:174 send 7.5Mbps lastrcv:188 pacing_rate 26.5Mbps delivery_rate 5.5Mbps delivered:116 busy:184ms unacked:87 retrans:8/30 lost:8 sacked:58 rcv_space:14480 rcv_ssthresh:42242 notsent:230232 minrtt:23.984
1650985085.919113, 	 reno wscale:8,9 rto:240 rtt:37.435/3.486 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:33 bytes_sent:279464 bytes_retrans:44888 bytes_acked:88329 segs_out:195 segs_in:71 data_segs_out:193 send 9.9Mbps lastrcv:208 pacing_rate 37.1Mbps delivery_rate 8.1Mbps delivered:131 busy:204ms unacked:101 retrans:3/31 lost:3 sacked:69 rcv_space:14480 rcv_ssthresh:42242 notsent:204168 minrtt:23.984
1650985085.936892, 	 reno wscale:8,9 rto:236 rtt:34.802/1.599 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:33 bytes_sent:301184 bytes_retrans:49232 bytes_acked:88329 segs_out:210 segs_in:82 data_segs_out:208 send 9.7Mbps lastsnd:4 lastrcv:228 lastack:4 pacing_rate 44.7Mbps delivery_rate 8.7Mbps delivered:146 busy:224ms unacked:113 retrans:4/34 lost:4 sacked:84 rcv_space:14480 rcv_ssthresh:42242 notsent:186792 minrtt:23.984
1650985085.959869, 	 reno wscale:8,9 rto:236 rtt:35.178/2.599 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:33 bytes_sent:330144 bytes_retrans:50680 bytes_acked:104257 segs_out:230 segs_in:93 data_segs_out:228 send 10.2Mbps lastrcv:248 pacing_rate 47.4Mbps delivery_rate 8.9Mbps delivered:163 busy:244ms unacked:121 retrans:3/35 lost:3 sacked:90 rcv_space:14480 rcv_ssthresh:42242 notsent:419920 minrtt:23.984
1650985085.978685, 	 reno wscale:8,9 rto:236 rtt:32.931/1.965 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:33 bytes_sent:351864 bytes_retrans:55024 bytes_acked:104257 segs_out:245 segs_in:103 data_segs_out:243 send 9.8Mbps lastsnd:4 lastrcv:268 lastack:4 pacing_rate 55.7Mbps delivery_rate 8.7Mbps delivered:178 busy:264ms unacked:133 retrans:4/38 lost:4 sacked:105 rcv_space:14480 rcv_ssthresh:42242 notsent:402544 minrtt:23.984
1650985085.996800, 	 reno wscale:8,9 rto:236 rtt:32.741/1.612 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:16 bytes_sent:369240 bytes_retrans:55024 bytes_acked:243265 segs_out:257 segs_in:112 data_segs_out:255 send 9.6Mbps lastsnd:4 lastrcv:284 pacing_rate 20.8Mbps delivery_rate 9.4Mbps delivered:191 busy:280ms unacked:49 retrans:3/38 lost:3 sacked:22 rcv_space:14480 rcv_ssthresh:42242 notsent:385168 minrtt:23.984
1650985086.016738, 	 reno wscale:8,9 rto:236 rtt:32.878/1.805 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:16 bytes_sent:377928 bytes_retrans:60816 bytes_acked:250505 segs_out:263 segs_in:121 data_segs_out:261 send 5.6Mbps lastsnd:4 lastrcv:304 lastack:4 pacing_rate 19.4Mbps delivery_rate 8.1Mbps delivered:204 busy:300ms unacked:46 retrans:4/42 lost:4 sacked:30 rcv_space:14480 rcv_ssthresh:42242 notsent:382272 minrtt:23.984
1650985086.035872, 	 reno wscale:8,9 rto:232 rtt:31.954/1.46 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:16 bytes_sent:399648 bytes_retrans:60816 bytes_acked:288153 segs_out:278 segs_in:133 data_segs_out:276 send 5.8Mbps lastsnd:4 lastrcv:324 lastack:4 pacing_rate 14.8Mbps delivery_rate 7.2Mbps delivered:219 busy:320ms unacked:35 retrans:1/42 lost:1 sacked:19 rcv_space:14480 rcv_ssthresh:42242 notsent:360552 minrtt:23.984
1650985086.057489, 	 reno wscale:8,9 rto:228 rtt:27.052/1.628 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:16 bytes_sent:418472 bytes_retrans:60816 bytes_acked:334489 segs_out:291 segs_in:144 data_segs_out:289 send 6.9Mbps lastrcv:340 pacing_rate 8.2Mbps delivery_rate 5.7Mbps delivered:232 busy:336ms unacked:16 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:341728 minrtt:22.744
1650985086.075387, 	 reno wscale:8,9 rto:228 rtt:25.63/1.095 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:17 ssthresh:16 bytes_sent:434400 bytes_retrans:60816 bytes_acked:348969 segs_out:302 segs_in:152 data_segs_out:300 send 7.7Mbps lastsnd:4 lastrcv:364 lastack:4 pacing_rate 9.2Mbps delivery_rate 6.6Mbps delivered:242 busy:360ms unacked:17 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:521280 minrtt:22.744
1650985086.093577, 	 reno wscale:8,9 rto:228 rtt:24.701/0.925 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:18 ssthresh:16 bytes_sent:451776 bytes_retrans:60816 bytes_acked:366345 segs_out:314 segs_in:158 data_segs_out:312 send 8.4Mbps lastrcv:380 pacing_rate 10.1Mbps delivery_rate 7.5Mbps delivered:254 busy:376ms unacked:17 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:503904 minrtt:22.744
1650985086.112399, 	 reno wscale:8,9 rto:224 rtt:23.887/1.116 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:19 ssthresh:16 bytes_sent:477840 bytes_retrans:60816 bytes_acked:390961 segs_out:332 segs_in:167 data_segs_out:330 send 9.2Mbps lastrcv:400 pacing_rate 11.1Mbps delivery_rate 8.5Mbps delivered:271 busy:396ms unacked:18 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:477840 minrtt:22.198
1650985086.133347, 	 reno wscale:8,9 rto:228 rtt:25.299/2.396 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:16 bytes_sent:508248 bytes_retrans:60816 bytes_acked:419921 segs_out:353 segs_in:177 data_segs_out:351 send 9.2Mbps lastrcv:428 pacing_rate 11.0Mbps delivery_rate 8.0Mbps delivered:291 busy:424ms unacked:19 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:447432 minrtt:20.729
1650985086.157183, 	 reno wscale:8,9 rto:228 rtt:24.365/1.878 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:16 bytes_sent:522728 bytes_retrans:60816 bytes_acked:434401 segs_out:363 segs_in:182 data_segs_out:361 send 9.5Mbps lastrcv:444 pacing_rate 11.4Mbps delivery_rate 7.3Mbps delivered:301 busy:440ms unacked:19 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:432952 minrtt:20.729
1650985086.175878, 	 reno wscale:8,9 rto:228 rtt:24.408/1.75 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:21 ssthresh:16 bytes_sent:545896 bytes_retrans:60816 bytes_acked:456121 segs_out:379 segs_in:190 data_segs_out:377 send 10.0Mbps lastsnd:4 lastrcv:464 lastack:4 pacing_rate 12.0Mbps delivery_rate 8.8Mbps delivered:316 busy:460ms unacked:20 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:409784 minrtt:20.729
1650985086.195275, 	 reno wscale:8,9 rto:228 rtt:25.532/1.616 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 ssthresh:16 bytes_sent:567616 bytes_retrans:60816 bytes_acked:476393 segs_out:394 segs_in:197 data_segs_out:392 send 10.0Mbps lastrcv:480 pacing_rate 12.0Mbps delivery_rate 8.3Mbps delivered:330 busy:476ms unacked:21 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:388064 minrtt:20.729
1650985086.213628, 	 reno wscale:8,9 rto:228 rtt:27.128/1.583 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 ssthresh:16 bytes_sent:584992 bytes_retrans:60816 bytes_acked:493769 segs_out:406 segs_in:203 data_segs_out:404 send 9.4Mbps lastsnd:4 lastrcv:500 lastack:4 pacing_rate 11.3Mbps delivery_rate 8.2Mbps delivered:342 busy:496ms unacked:21 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:370688 minrtt:20.729
1650985086.230404, 	 reno wscale:8,9 rto:228 rtt:27.089/1.01 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:23 ssthresh:16 bytes_sent:608160 bytes_retrans:60816 bytes_acked:515489 segs_out:422 segs_in:211 data_segs_out:420 send 9.8Mbps lastrcv:516 pacing_rate 11.8Mbps delivery_rate 8.4Mbps delivered:357 busy:512ms unacked:22 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:347520 minrtt:20.729
1650985086.248220, 	 reno wscale:8,9 rto:228 rtt:27.292/1.469 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:23 ssthresh:16 bytes_sent:629880 bytes_retrans:60816 bytes_acked:535761 segs_out:437 segs_in:218 data_segs_out:435 send 9.8Mbps lastrcv:536 pacing_rate 11.7Mbps delivery_rate 8.8Mbps delivered:371 busy:532ms unacked:23 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:521280 minrtt:20.729
1650985086.269939, 	 reno wscale:8,9 rto:232 rtt:30.578/3.921 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 ssthresh:16 bytes_sent:647256 bytes_retrans:60816 bytes_acked:553137 segs_out:449 segs_in:224 data_segs_out:447 send 9.1Mbps lastsnd:4 lastrcv:560 lastack:4 pacing_rate 10.9Mbps delivery_rate 7.1Mbps delivered:383 busy:556ms unacked:23 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:503904 minrtt:20.729
1650985086.288537, 	 reno wscale:8,9 rto:236 rtt:35.804/4.521 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 ssthresh:16 bytes_sent:667528 bytes_retrans:60816 bytes_acked:571961 segs_out:463 segs_in:231 data_segs_out:461 send 7.8Mbps lastrcv:580 pacing_rate 9.3Mbps delivery_rate 6.5Mbps delivered:396 busy:576ms unacked:24 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:483632 minrtt:20.729
1650985086.327152, 	 reno wscale:8,9 rto:240 rtt:38.268/2.898 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:25 ssthresh:16 bytes_sent:697936 bytes_retrans:60816 bytes_acked:600921 segs_out:484 segs_in:241 data_segs_out:482 send 7.6Mbps lastsnd:4 lastrcv:616 lastack:4 pacing_rate 9.1Mbps delivery_rate 6.5Mbps delivered:416 busy:612ms unacked:25 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:453224 minrtt:20.729
1650985086.345912, 	 reno wscale:8,9 rto:240 rtt:36.087/2.417 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 ssthresh:16 bytes_sent:726896 bytes_retrans:60816 bytes_acked:629881 segs_out:504 segs_in:251 data_segs_out:502 send 8.3Mbps lastsnd:4 lastrcv:644 lastack:4 pacing_rate 10.0Mbps delivery_rate 7.6Mbps delivered:436 busy:640ms unacked:25 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:424264 minrtt:20.729
1650985086.374845, 	 reno wscale:8,9 rto:236 rtt:34.942/1.215 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:16 bytes_sent:750064 bytes_retrans:60816 bytes_acked:651601 segs_out:520 segs_in:259 data_segs_out:518 send 9.0Mbps lastrcv:660 pacing_rate 10.7Mbps delivery_rate 7.1Mbps delivered:451 busy:656ms unacked:26 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:401096 minrtt:20.729
1650985086.395762, 	 reno wscale:8,9 rto:236 rtt:34.399/1.158 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:16 bytes_sent:774680 bytes_retrans:60816 bytes_acked:674769 segs_out:537 segs_in:267 data_segs_out:535 send 9.1Mbps lastrcv:684 pacing_rate 10.9Mbps delivery_rate 8.5Mbps delivered:467 busy:680ms unacked:27 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:376480 minrtt:20.729
1650985086.427539, 	 reno wscale:8,9 rto:240 rtt:39.346/4.142 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:16 bytes_sent:803640 bytes_retrans:60816 bytes_acked:702281 segs_out:557 segs_in:277 data_segs_out:555 send 8.2Mbps lastrcv:716 pacing_rate 9.9Mbps delivery_rate 7.1Mbps delivered:486 busy:712ms unacked:28 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:347520 minrtt:20.729
1650985086.449343, 	 reno wscale:8,9 rto:244 rtt:40.709/2.411 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:16 bytes_sent:823912 bytes_retrans:60816 bytes_acked:722553 segs_out:571 segs_in:284 data_segs_out:569 send 8.0Mbps lastrcv:736 pacing_rate 9.6Mbps delivery_rate 7.6Mbps delivered:500 busy:732ms unacked:28 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:327248 minrtt:20.729
1650985086.468189, 	 reno wscale:8,9 rto:240 rtt:37.836/2.348 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:16 bytes_sent:848528 bytes_retrans:60816 bytes_acked:745721 segs_out:588 segs_in:292 data_segs_out:586 send 8.9Mbps lastsnd:4 lastrcv:756 lastack:4 pacing_rate 10.7Mbps delivery_rate 7.3Mbps delivered:516 busy:752ms unacked:29 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:498112 minrtt:20.729
1650985086.487124, 	 reno wscale:8,9 rto:236 rtt:35.301/1.938 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:29 ssthresh:16 bytes_sent:870248 bytes_retrans:60816 bytes_acked:767441 segs_out:603 segs_in:300 data_segs_out:601 send 9.5Mbps lastsnd:4 lastrcv:776 lastack:4 pacing_rate 11.4Mbps delivery_rate 8.8Mbps delivered:531 busy:772ms unacked:29 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:476392 minrtt:20.729
1650985086.505554, 	 reno wscale:8,9 rto:236 rtt:35.307/1.234 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:16 bytes_sent:893416 bytes_retrans:60816 bytes_acked:790609 segs_out:619 segs_in:308 data_segs_out:617 send 9.8Mbps lastrcv:792 pacing_rate 11.8Mbps delivery_rate 9.3Mbps delivered:547 busy:788ms unacked:29 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:453224 minrtt:20.729
1650985086.528917, 	 reno wscale:8,9 rto:236 rtt:35.728/1.452 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:16 bytes_sent:925272 bytes_retrans:60816 bytes_acked:821017 segs_out:641 segs_in:319 data_segs_out:639 send 10.1Mbps lastrcv:820 pacing_rate 12.1Mbps delivery_rate 9.3Mbps delivered:568 busy:816ms unacked:30 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:421368 minrtt:20.729
1650985086.549351, 	 reno wscale:8,9 rto:240 rtt:36.144/1.338 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:31 ssthresh:16 bytes_sent:945544 bytes_retrans:60816 bytes_acked:841289 segs_out:655 segs_in:326 data_segs_out:653 send 9.9Mbps lastrcv:836 pacing_rate 11.9Mbps delivery_rate 8.9Mbps delivered:582 busy:832ms unacked:30 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:401096 minrtt:20.729
1650985086.568815, 	 reno wscale:8,9 rto:240 rtt:36.044/1.079 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:16 bytes_sent:970160 bytes_retrans:60816 bytes_acked:864457 segs_out:672 segs_in:334 data_segs_out:670 send 10.3Mbps lastrcv:856 pacing_rate 12.3Mbps delivery_rate 9.6Mbps delivered:598 busy:852ms unacked:31 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:376480 minrtt:20.729
1650985086.586349, 	 reno wscale:8,9 rto:236 rtt:35.932/0.633 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:32 ssthresh:16 bytes_sent:990432 bytes_retrans:60816 bytes_acked:884729 segs_out:686 segs_in:341 data_segs_out:684 send 10.3Mbps lastrcv:872 pacing_rate 12.4Mbps delivery_rate 9.2Mbps delivered:612 busy:868ms unacked:31 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:356208 minrtt:20.729
1650985086.604638, 	 reno wscale:8,9 rto:240 rtt:36.545/0.915 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:33 ssthresh:16 bytes_sent:1013600 bytes_retrans:60816 bytes_acked:906449 segs_out:702 segs_in:349 data_segs_out:700 send 10.5Mbps lastrcv:892 pacing_rate 12.6Mbps delivery_rate 9.5Mbps delivered:627 busy:888ms unacked:32 retrans:0/42 rcv_space:14480 rcv_ssthresh:42242 notsent:333040 minrtt:20.729
1650985086.622623, 	 reno wscale:8,9 rto:240 rtt:36.17/0.951 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:16 bytes_sent:1033872 bytes_retrans:63712 bytes_acked:918033 segs_out:716 segs_in:357 data_segs_out:714 send 9.0Mbps lastrcv:908 pacing_rate 13.5Mbps delivery_rate 9.2Mbps delivered:643 busy:904ms unacked:36 retrans:2/44 lost:2 sacked:8 rcv_space:14480 rcv_ssthresh:42242 notsent:315664 minrtt:20.729
