1650985085.664793, 0
1650985085.686627, 1
1650985085.703175, 0
1650985085.721507, 0
1650985085.762094, 8
1650985085.778181, 4
1650985085.794174, 10
1650985085.811435, 10
1650985085.827917, 9
1650985085.847579, 9
1650985085.865352, 8
1650985085.884392, 6
1650985085.900969, 9
1650985085.921954, 8
1650985085.938397, 9
1650985085.959181, 8
1650985085.978053, 10
1650985085.994715, 8
1650985086.012183, 6
1650985086.028536, 4
1650985086.046697, 3
1650985086.064183, 2
1650985086.080428, 3
1650985086.096380, 2
1650985086.113457, 4
1650985086.132698, 3
1650985086.155436, 3
1650985086.173551, 5
1650985086.193089, 5
1650985086.210524, 3
1650985086.228100, 4
1650985086.246126, 4
1650985086.273179, 6
1650985086.297748, 5
1650985086.323554, 4
1650985086.342857, 7
1650985086.359953, 6
1650985086.378832, 6
1650985086.395724, 9
1650985086.428691, 8
1650985086.447322, 8
1650985086.464817, 8
1650985086.482577, 8
1650985086.502410, 8
1650985086.519876, 8
1650985086.535372, 8
1650985086.551608, 8
1650985086.566883, 9
1650985086.584888, 9
1650985086.600943, 9
1650985086.617369, 9
1650985086.634128, 9
1650985086.653874, 4
1650985086.670336, 3
1650985086.685813, 3
1650985086.701500, 3
1650985086.716679, 5
1650985086.732201, 2
1650985086.750582, 3
1650985086.766878, 3
1650985086.784943, 4
1650985086.801085, 4
1650985086.816786, 5
1650985086.831679, 3
1650985086.847839, 5
1650985086.866634, 5
1650985086.883557, 5
1650985086.900944, 5
1650985086.917598, 6
1650985086.934635, 5
1650985086.953333, 6
1650985086.970831, 6
1650985086.988433, 7
1650985087.006814, 8
1650985087.022820, 9
1650985087.040517, 8
1650985087.057927, 8
1650985087.074048, 9
1650985087.089654, 7
1650985087.105018, 8
1650985087.120594, 9
1650985087.140409, 9
1650985087.155380, 8
1650985087.171248, 7
1650985087.189260, 3
1650985087.209203, 4
1650985087.224890, 2
1650985087.240849, 2
1650985087.258788, 2
1650985087.276976, 3
1650985087.293851, 2
1650985087.311220, 2
1650985087.328572, 4
1650985087.347715, 4
1650985087.363821, 4
1650985087.381252, 5
1650985087.398083, 4
1650985087.416485, 7
1650985087.433340, 5
1650985087.449353, 6
1650985087.465667, 7
1650985087.481330, 6
1650985087.496871, 7
1650985087.512746, 6
1650985087.528568, 6
1650985087.544615, 7
1650985087.561273, 9
1650985087.577938, 7
1650985087.593677, 9
1650985087.611204, 7
1650985087.630786, 8
1650985087.648214, 9
1650985087.665159, 8
1650985087.680998, 8
1650985087.697053, 9
1650985087.715845, 8
1650985087.732419, 8
1650985087.750266, 8
1650985087.768225, 2
1650985087.784689, 3
1650985087.801403, 2
1650985087.819885, 2
1650985087.838212, 4
1650985087.854983, 2
1650985087.871930, 3
1650985087.888444, 3
1650985087.904429, 4
1650985087.920759, 5
1650985087.937371, 4
1650985087.953242, 4
1650985087.971013, 5
1650985087.987583, 5
1650985088.002933, 5
1650985088.021308, 6
1650985088.038745, 6
1650985088.054993, 6
1650985088.072188, 5
1650985088.089149, 6
1650985088.106826, 8
1650985088.122909, 7
1650985088.139751, 8
1650985088.157110, 8
1650985088.173026, 8
1650985088.188427, 8
1650985088.205310, 10
1650985088.221410, 8
1650985088.238088, 10
1650985088.258084, 9
1650985088.273537, 8
1650985088.289663, 8
1650985088.305298, 8
1650985088.321678, 3
1650985088.337696, 3
1650985088.353102, 3
1650985088.368797, 1
1650985088.384882, 3
1650985088.402334, 3
1650985088.418412, 2
1650985088.435127, 3
1650985088.452884, 4
1650985088.469790, 4
