	1650985085.662180 	45.5 
0.162970 	1650985085.825150 	48.8 
0.155800 	1650985085.980950 	39.6 
0.147440 	1650985086.128390 	26.0 
0.140550 	1650985086.268940 	39.9 
0.153560 	1650985086.422500 	37.9 
0.152120 	1650985086.574620 	38.7 
0.145920 	1650985086.720540 	23.3 
0.129320 	1650985086.849860 	28.0 
0.136500 	1650985086.986360 	36.2 
0.144210 	1650985087.130570 	35.5 
0.143860 	1650985087.274430 	25.6 
0.132310 	1650985087.406740 	30.3 
0.136310 	1650985087.543050 	33.5 
0.142630 	1650985087.685680 	37.6 
0.144170 	1650985087.829850 	25.0 
0.135100 	1650985087.964950 	28.1 
0.134670 	1650985088.099620 	33.5 
0.139500 	1650985088.239120 	37.0 
0.147920 	1650985088.387040 	23.2 
0.129240 	1650985088.516280 	25.8 
0.132300 	1650985088.648580 	33.5 
0.141200 	1650985088.789780 	41.1 
0.150140 	1650985088.939920 	24.0 
0.131030 	1650985089.070950 	28.2 
0.135210 	1650985089.206160 	33.6 
0.144940 	1650985089.351100 	37.1 
0.143000 	1650985089.494100 	24.2 
0.131520 	1650985089.625620 	27.5 
0.136470 	1650985089.762090 	39.6 
0.147190 	1650985089.909280 	36.9 
0.143820 	1650985090.053100 	27.9 
0.139400 	1650985090.192500 	27.9 
0.136180 	1650985090.328680 	36.1 
0.145180 	1650985090.473860 	41.2 
0.147360 	1650985090.621220 	23.0 
0.131320 	1650985090.752540 	27.0 
0.138380 	1650985090.890920 	34.1 
0.145110 	1650985091.036030 	38.0 
0.143400 	1650985091.179430 	27.8 
0.134590 	1650985091.314020 	28.6 
0.136160 	1650985091.450180 	33.1 
0.139620 	1650985091.589800 	36.8 
0.142500 	1650985091.732300 	22.7 
0.130600 	1650985091.862900 	30.5 
0.137940 	1650985092.000840 	32.8 
0.140230 	1650985092.141070 	39.0 
0.151500 	1650985092.292570 	28.0 
0.135720 	1650985092.428290 	30.6 
0.137610 	1650985092.565900 	37.2 
0.144010 	1650985092.709910 	39.4 
0.147060 	1650985092.856970 	26.4 
0.134720 	1650985092.991690 	29.7 
0.136810 	1650985093.128500 	33.2 
0.140340 	1650985093.268840 	39.2 
0.146120 	1650985093.414960 	25.4 
0.134400 	1650985093.549360 	30.2 
0.139490 	1650985093.688850 	31.5 
0.140590 	1650985093.829440 	34.5 
0.140400 	1650985093.969840 	23.9 
0.135370 	1650985094.105210 	27.4 
0.134930 	1650985094.240140 	33.5 
0.151820 	1650985094.391960 	33.8 
0.145830 	1650985094.537790 	29.4 
0.142430 	1650985094.680220 	27.2 
0.133840 	1650985094.814060 	33.6 
0.141530 	1650985094.955590 	39.3 
0.146430 	1650985095.102020 	23.9 
0.136450 	1650985095.238470 	29.3 
0.141870 	1650985095.380340 	39.3 
0.145060 	1650985095.525400 	46.1 
0.155340 	1650985095.680740 	21.7 
0.128500 	1650985095.809240 	27.4 
0.137970 	1650985095.947210 	35.6 
0.142620 	1650985096.089830 	40.6 
0.151380 	1650985096.241210 	24.4 
0.132250 	1650985096.373460 	31.3 
0.139030 	1650985096.512490 	32.6 
0.138660 	1650985096.651150 	37.5 
0.143380 	1650985096.794530 	20.9 
0.133770 	1650985096.928300 	28.4 
0.142420 	1650985097.070720 	35.0 
0.142860 	1650985097.213580 	39.3 
0.145260 	1650985097.358840 	25.7 
0.131890 	1650985097.490730 	30.5 
0.139950 	1650985097.630680 	35.6 
0.146520 	1650985097.777200 	37.2 
0.143850 	1650985097.921050 	24.5 
0.130730 	1650985098.051780 	29.0 
0.140620 	1650985098.192400 	35.1 
0.140060 	1650985098.332460 	40.3 
0.146660 	1650985098.479120 	22.4 
0.130630 	1650985098.609750 	32.0 
0.138040 	1650985098.747790 	35.4 
0.142200 	1650985098.889990 	41.9 
0.148550 	1650985099.038540 	27.8 
0.135560 	1650985099.174100 	25.8 
0.132760 	1650985099.306860 	35.1 
0.141870 	1650985099.448730 	42.5 
0.149380 	1650985099.598110 	24.6 
0.132210 	1650985099.730320 	30.0 
0.137170 	1650985099.867490 	38.0 
0.147640 	1650985100.015130 	39.3 
0.146500 	1650985100.161630 	25.0 
0.132770 	1650985100.294400 	25.8 
0.134820 	1650985100.429220 	35.5 
0.144950 	1650985100.574170 	40.1 
0.146670 	1650985100.720840 	26.8 
0.134830 	1650985100.855670 	27.8 
0.134130 	1650985100.989800 	35.2 
0.141980 	1650985101.131780 	39.0 
0.146900 	1650985101.278680 	25.4 
0.131640 	1650985101.410320 	31.4 
0.139740 	1650985101.550060 	33.9 
0.142580 	1650985101.692640 	36.3 
0.141950 	1650985101.834590 	37.7 
0.145300 	1650985101.979890 	25.3 
0.133570 	1650985102.113460 	31.9 
0.139040 	1650985102.252500 	36.5 
0.142390 	1650985102.394890 	39.8 
0.146990 	1650985102.541880 	27.5 
0.135570 	1650985102.677450 	28.1 
0.138020 	1650985102.815470 	34.0 
0.140390 	1650985102.955860 	39.6 
0.147620 	1650985103.103480 	28.8 
0.135110 	1650985103.238590 	28.5 
0.135700 	1650985103.374290 	32.0 
0.138730 	1650985103.513020 	41.1 
0.147770 	1650985103.660790 	25.1 
0.135300 	1650985103.796090 	27.2 
0.132920 	1650985103.929010 	35.2 
0.143140 	1650985104.072150 	39.8 
0.146240 	1650985104.218390 	33.4 
0.140160 	1650985104.358550 	29.4 
0.135680 	1650985104.494230 	35.4 
0.140690 	1650985104.634920 	40.2 
0.146760 	1650985104.781680 	22.9 
0.128810 	1650985104.910490 	28.9 
0.138780 	1650985105.049270 	33.8 
0.141900 	1650985105.191170 	38.9 
0.151550 	1650985105.342720 	27.8 
0.136400 	1650985105.479120 	29.9 
0.145340 	1650985105.624460 	34.4 
0.140630 	1650985105.765090 	41.7 
0.147940 	1650985105.913030 	27.8 
0.133320 	1650985106.046350 	30.7 
0.141960 	1650985106.188310 	31.4 
0.142940 	1650985106.331250 	40.0 
0.152070 	1650985106.483320 	25.8 
0.134790 	1650985106.618110 	27.8 
0.138470 	1650985106.756580 	36.8 
0.142520 	1650985106.899100 	39.4 
0.146930 	1650985107.046030 	25.3 
0.131980 	1650985107.178010 	28.6 
0.139990 	1650985107.318000 	35.8 
0.142830 	1650985107.460830 	34.4 
0.140030 	1650985107.600860 	28.3 
0.135900 	1650985107.736760 	34.7 
0.142910 	1650985107.879670 	36.2 
0.144200 	1650985108.023870 	38.0 
0.147280 	1650985108.171150 	25.0 
0.130950 	1650985108.302100 	31.0 
0.139320 	1650985108.441420 	35.1 
0.142720 	1650985108.584140 	39.3 
0.145760 	1650985108.729900 	23.6 
0.130890 	1650985108.860790 	27.3 
0.137720 	1650985108.998510 	37.8 
0.145660 	1650985109.144170 	33.7 
0.140760 	1650985109.284930 	23.8 
0.130300 	1650985109.415230 	28.8 
0.137390 	1650985109.552620 	33.4 
0.146650 	1650985109.699270 	42.3 
0.153910 	1650985109.853180 	26.3 
0.135460 	1650985109.988640 	27.1 
0.133250 	1650985110.121890 	30.3 
0.142680 	1650985110.264570 	39.7 
0.145740 	1650985110.410310 	27.0 
0.133550 	1650985110.543860 	28.3 
0.136570 	1650985110.680430 	36.8 
0.142770 	1650985110.823200 	37.9 
0.145750 	1650985110.968950 	26.0 
0.133920 	1650985111.102870 	30.8 
0.138620 	1650985111.241490 	36.6 
0.144060 	1650985111.385550 	40.3 
0.146940 	1650985111.532490 	27.0 
0.138450 	1650985111.670940 	29.6 
0.143730 	1650985111.814670 	39.6 
		33.3 
		33.8 
		33.5 
		33.0 
		33.8 
		34.0 
		33.8 
		33.1 
		33.8 
		34.2 
		33.6 
		33.7 
		33.6 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
		33.7 
10.264260 	1650985122.078930 	37.0 
0.149410 	1650985122.228340 	28.6 
0.136560 	1650985122.364900 	29.5 
0.136450 	1650985122.501350 	33.6 
0.143040 	1650985122.644390 	36.8 
0.148600 	1650985122.792990 	23.6 
0.130190 	1650985122.923180 	34.7 
0.140550 	1650985123.063730 	33.7 
0.144470 	1650985123.208200 	43.7 
0.150250 	1650985123.358450 	27.4 
0.133220 	1650985123.491670 	30.1 
